rank,level,target,english,attribution,words,contributor
468,B,دکان کتنی دور ہے؟,How far is the shop?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
469,B,ہمیں دکان جانا ہے۔,We need to go to the shop.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
470,B,چلیے، دکان چلیں۔,Let's go to the shop.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
471,A,سپرمارکیٹ کہاں ہے؟,Where is the supermarket?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
472,A,کیا سپرمارکیٹ قریب ہے؟,Is the supermarket nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
473,B,سپرمارکیٹ کتنی دور ہے؟,How far is the supermarket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
474,B,ہمیں سپرمارکیٹ جانا ہے۔,We need to go to the supermarket.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
475,B,چلیے، سپرمارکیٹ چلیں۔,Let's go to the supermarket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
476,A,اسکول کہاں ہے؟,Where is the school?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
477,A,کیا اسکول قریب ہے؟,Is the school nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
478,B,اسکول کتنی دور ہے؟,How far is the school?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
479,B,ہمیں اسکول جانا ہے۔,We need to go to the school.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
480,B,چلیے، اسکول چلیں۔,Let's go to the school.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
481,A,یونیورسٹی کہاں ہے؟,Where is the university?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
482,A,کیا یونیورسٹی قریب ہے؟,Is the university nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
483,B,یونیورسٹی کتنی دور ہے؟,How far is the university?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
484,B,ہمیں یونیورسٹی جانا ہے۔,We need to go to the university.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
485,B,چلیے، یونیورسٹی چلیں۔,Let's go to the university.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
486,A,دفتر کہاں ہے؟,Where is the office?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
487,A,کیا دفتر قریب ہے؟,Is the office nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
488,B,دفتر کتنی دور ہے؟,How far is the office?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
489,B,ہمیں دفتر جانا ہے۔,We need to go to the office.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
490,B,چلیے، دفتر چلیں۔,Let's go to the office.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
491,A,لائبریری کہاں ہے؟,Where is the library?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
492,A,کیا لائبریری قریب ہے؟,Is the library nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
493,B,لائبریری کتنی دور ہے؟,How far is the library?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
494,B,ہمیں لائبریری جانا ہے۔,We need to go to the library.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
495,B,چلیے، لائبریری چلیں۔,Let's go to the library.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
496,A,پارک کہاں ہے؟,Where is the park?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
497,A,کیا پارک قریب ہے؟,Is the park nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
498,B,پارک کتنی دور ہے؟,How far is the park?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
499,B,ہمیں پارک جانا ہے۔,We need to go to the park.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
500,B,چلیے، پارک چلیں۔,Let's go to the park.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
501,A,مسجد کہاں ہے؟,Where is the mosque?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
502,A,کیا مسجد قریب ہے؟,Is the mosque nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
503,B,مسجد کتنی دور ہے؟,How far is the mosque?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
504,B,ہمیں مسجد جانا ہے۔,We need to go to the mosque.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
505,B,چلیے، مسجد چلیں۔,Let's go to the mosque.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
506,A,میوزیم کہاں ہے؟,Where is the museum?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
507,A,کیا میوزیم قریب ہے؟,Is the museum nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
508,B,میوزیم کتنی دور ہے؟,How far is the museum?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
509,B,ہمیں میوزیم جانا ہے۔,We need to go to the museum.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
510,B,چلیے، میوزیم چلیں۔,Let's go to the museum.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
511,A,سینما کہاں ہے؟,Where is the cinema?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
512,A,کیا سینما قریب ہے؟,Is the cinema nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
513,B,سینما کتنی دور ہے؟,How far is the cinema?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
514,B,ہمیں سینما جانا ہے۔,We need to go to the cinema.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
515,B,چلیے، سینما چلیں۔,Let's go to the cinema.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
516,A,تھیٹر کہاں ہے؟,Where is the theater?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
517,A,کیا تھیٹر قریب ہے؟,Is the theater nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
518,B,تھیٹر کتنی دور ہے؟,How far is the theater?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
519,B,ہمیں تھیٹر جانا ہے۔,We need to go to the theater.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
520,B,چلیے، تھیٹر چلیں۔,Let's go to the theater.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
521,B,پولیس اسٹیشن کہاں ہے؟,Where is the police station?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
522,B,کیا پولیس اسٹیشن قریب ہے؟,Is the police station nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
523,B,پولیس اسٹیشن کتنی دور ہے؟,How far is the police station?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
524,B,ہمیں پولیس اسٹیشن جانا ہے۔,We need to go to the police station.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
525,B,چلیے، پولیس اسٹیشن چلیں۔,Let's go to the police station.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
526,A,سفارت خانہ کہاں ہے؟,Where is the embassy?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
527,A,کیا سفارت خانہ قریب ہے؟,Is the embassy nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
528,B,سفارت خانہ کتنی دور ہے؟,How far is the embassy?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
529,B,ہمیں سفارت خانہ جانا ہے۔,We need to go to the embassy.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
530,B,چلیے، سفارت خانہ چلیں۔,Let's go to the embassy.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
531,B,ڈاک خانہ کہاں ہے؟,Where is the post office?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
532,B,کیا ڈاک خانہ قریب ہے؟,Is the post office nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
533,B,ڈاک خانہ کتنی دور ہے؟,How far is the post office?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
534,B,ہمیں ڈاک خانہ جانا ہے۔,We need to go to the post office.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
535,B,چلیے، ڈاک خانہ چلیں۔,Let's go to the post office.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
536,B,مال کہاں ہے؟,Where is the shopping mall?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
537,B,کیا مال قریب ہے؟,Is the shopping mall nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
538,B,مال کتنی دور ہے؟,How far is the shopping mall?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
539,B,ہمیں مال جانا ہے۔,We need to go to the shopping mall.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
540,B,چلیے، مال چلیں۔,Let's go to the shopping mall.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
541,A,جم کہاں ہے؟,Where is the gym?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
542,A,کیا جم قریب ہے؟,Is the gym nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
543,B,جم کتنی دور ہے؟,How far is the gym?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
544,B,ہمیں جم جانا ہے۔,We need to go to the gym.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
545,B,چلیے، جم چلیں۔,Let's go to the gym.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
546,A,اسٹیڈیم کہاں ہے؟,Where is the stadium?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
547,A,کیا اسٹیڈیم قریب ہے؟,Is the stadium nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
548,B,اسٹیڈیم کتنی دور ہے؟,How far is the stadium?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
549,B,ہمیں اسٹیڈیم جانا ہے۔,We need to go to the stadium.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
550,B,چلیے، اسٹیڈیم چلیں۔,Let's go to the stadium.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
551,A,ہمیں انتظار کرنا ہے۔,We need to wait.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
552,A,ہمیں انتظار کرنا چاہیے۔,We should wait.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
553,A,ہم انتظار کر سکتے ہیں۔,We can wait.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
554,A,براہِ کرم انتظار کیجیے۔,Please wait.,Original controlled learner sentence — UALIS Publishing v1.0.,2,
555,A,براہِ کرم انتظار نہ کیجیے۔,Please do not wait.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
556,B,ہمیں اب شروع کرنا ہے۔,We need to start now.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
557,A,ہمیں اب شروع کرنا چاہیے۔,We should start now.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
558,A,ہم اب شروع کر سکتے ہیں۔,We can start now.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
559,A,براہِ کرم اب شروع کیجیے۔,Please start now.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
560,B,براہِ کرم ابھی شروع نہ کیجیے۔,Please do not start now.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
561,B,ہمیں اب روانہ ہونا ہے۔,We need to leave now.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
562,A,ہمیں اب روانہ ہونا چاہیے۔,We should leave now.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
563,A,ہم اب روانہ ہو سکتے ہیں۔,We can leave now.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
564,A,براہِ کرم اب روانہ ہو جائیے۔,Please leave now.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
565,B,براہِ کرم ابھی روانہ نہ ہوں۔,Please do not leave now.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
566,B,ہمیں دروازہ کھولنا ہے۔,We need to open the door.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
567,B,ہمیں دروازہ کھولنا چاہیے۔,We should open the door.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
568,B,ہم دروازہ کھول سکتے ہیں۔,We can open the door.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
569,A,براہِ کرم دروازہ کھولیے۔,Please open the door.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
570,B,براہِ کرم دروازہ نہ کھولیے۔,Please do not open the door.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
571,B,ہمیں دروازہ بند کرنا ہے۔,We need to close the door.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
572,B,ہمیں دروازہ بند کرنا چاہیے۔,We should close the door.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
573,B,ہم دروازہ بند کر سکتے ہیں۔,We can close the door.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
574,A,براہِ کرم دروازہ بند کیجیے۔,Please close the door.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
575,B,براہِ کرم دروازہ بند نہ کیجیے۔,Please do not close the door.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
576,B,ہمیں بتی جلانا ہے۔,We need to turn on the light.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
577,B,ہمیں بتی جلانا چاہیے۔,We should turn on the light.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
578,B,ہم بتی جلا سکتے ہیں۔,We can turn on the light.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
579,B,براہِ کرم بتی جلائیے۔,Please turn on the light.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
580,B,براہِ کرم بتی نہ جلائیے۔,Please do not turn on the light.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
581,B,ہمیں بتی بند کرنا ہے۔,We need to turn off the light.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
582,B,ہمیں بتی بند کرنا چاہیے۔,We should turn off the light.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
583,B,ہم بتی بند کر سکتے ہیں۔,We can turn off the light.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
584,B,براہِ کرم بتی بند کیجیے۔,Please turn off the light.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
585,B,براہِ کرم بتی بند نہ کیجیے۔,Please do not turn off the light.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
586,B,ہمیں ٹیکسی بلانا ہے۔,We need to call a taxi.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
587,B,ہمیں ٹیکسی بلانا چاہیے۔,We should call a taxi.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
588,B,ہم ٹیکسی بلا سکتے ہیں۔,We can call a taxi.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
589,A,براہِ کرم ٹیکسی بلائیے۔,Please call a taxi.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
590,B,براہِ کرم ٹیکسی نہ بلائیے۔,Please do not call a taxi.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
591,B,ہمیں ڈاکٹر کو بلانا ہے۔,We need to call a doctor.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
592,B,ہمیں ڈاکٹر کو بلانا چاہیے۔,We should call a doctor.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
593,B,ہم ڈاکٹر کو بلا سکتے ہیں۔,We can call a doctor.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
594,A,براہِ کرم ڈاکٹر کو بلائیے۔,Please call a doctor.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
595,B,براہِ کرم ڈاکٹر کو نہ بلائیے۔,Please do not call a doctor.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
596,B,ہمیں فارم پڑھنا ہے۔,We need to read the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
597,B,ہمیں فارم پڑھنا چاہیے۔,We should read the form.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
598,B,ہم فارم پڑھ سکتے ہیں۔,We can read the form.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
599,A,براہِ کرم فارم پڑھیے۔,Please read the form.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
600,B,براہِ کرم فارم نہ پڑھیے۔,Please do not read the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
601,B,ہمیں فارم پُر کرنا ہے۔,We need to fill out the form.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
602,B,ہمیں فارم پُر کرنا چاہیے۔,We should fill out the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
603,B,ہم فارم پُر کر سکتے ہیں۔,We can fill out the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
604,B,براہِ کرم فارم پُر کیجیے۔,Please fill out the form.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
605,B,براہِ کرم فارم پُر نہ کیجیے۔,Please do not fill out the form.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
606,B,ہمیں فارم پر دستخط کرنا ہے۔,We need to sign the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
607,B,ہمیں فارم پر دستخط کرنا چاہیے۔,We should sign the form.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
608,B,ہم فارم پر دستخط کر سکتے ہیں۔,We can sign the form.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
609,A,براہِ کرم فارم پر دستخط کیجیے۔,Please sign the form.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
610,B,براہِ کرم فارم پر دستخط نہ کیجیے۔,Please do not sign the form.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
611,B,ہمیں پتا دیکھنا ہے۔,We need to check the address.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
612,B,ہمیں پتا دیکھنا چاہیے۔,We should check the address.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
613,B,ہم پتا دیکھ سکتے ہیں۔,We can check the address.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
614,A,براہِ کرم پتا دیکھیے۔,Please check the address.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
615,B,براہِ کرم پتا نہ دیکھیے۔,Please do not check the address.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
616,B,ہمیں وقت دیکھنا ہے۔,We need to check the time.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
617,B,ہمیں وقت دیکھنا چاہیے۔,We should check the time.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
618,B,ہم وقت دیکھ سکتے ہیں۔,We can check the time.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
619,A,براہِ کرم وقت دیکھیے۔,Please check the time.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
620,B,براہِ کرم وقت نہ دیکھیے۔,Please do not check the time.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
621,B,ہمیں ٹکٹ خریدنا ہے۔,We need to buy a ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
622,B,ہمیں ٹکٹ خریدنا چاہیے۔,We should buy a ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
623,B,ہم ٹکٹ خرید سکتے ہیں۔,We can buy a ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
624,A,براہِ کرم ٹکٹ خریدیے۔,Please buy a ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
625,B,براہِ کرم ٹکٹ نہ خریدیے۔,Please do not buy a ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
626,B,ہمیں کمرہ بک کرنا ہے۔,We need to book a room.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
627,B,ہمیں کمرہ بک کرنا چاہیے۔,We should book a room.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
628,B,ہم کمرہ بک کر سکتے ہیں۔,We can book a room.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
629,A,براہِ کرم کمرہ بک کیجیے۔,Please book a room.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
630,B,براہِ کرم کمرہ بک نہ کیجیے۔,Please do not book a room.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
631,B,ہمیں کھانا منگوانا ہے۔,We need to order food.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
632,A,ہمیں کھانا منگوانا چاہیے۔,We should order food.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
633,A,ہم کھانا منگوا سکتے ہیں۔,We can order food.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
634,A,براہِ کرم کھانا منگوائیے۔,Please order food.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
635,B,براہِ کرم کھانا نہ منگوائیے۔,Please do not order food.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
636,B,ہمیں پانی پینا ہے۔,We need to drink water.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
637,A,ہمیں پانی پینا چاہیے۔,We should drink water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
638,A,ہم پانی پی سکتے ہیں۔,We can drink water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
639,A,براہِ کرم پانی پیجیے۔,Please drink water.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
640,B,براہِ کرم پانی نہ پیجیے۔,Please do not drink water.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
641,B,ہمیں کچھ کھانا ہے۔,We need to eat something.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
642,A,ہمیں کچھ کھانا چاہیے۔,We should eat something.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
643,A,ہم کچھ کھا سکتے ہیں۔,We can eat something.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
644,A,براہِ کرم کچھ کھائیے۔,Please eat something.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
645,B,براہِ کرم کچھ نہ کھائیے۔,Please do not eat anything.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
646,B,ہمیں دوا لینا ہے۔,We need to take the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
647,B,ہمیں دوا لینا چاہیے۔,We should take the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
648,B,ہم دوا لے سکتے ہیں۔,We can take the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
649,A,براہِ کرم دوا لیجیے۔,Please take the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
650,B,براہِ کرم دوا نہ لیجیے۔,Please do not take the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
651,A,ہمیں آرام کرنا ہے۔,We need to rest.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
652,A,ہمیں آرام کرنا چاہیے۔,We should rest.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
653,A,ہم آرام کر سکتے ہیں۔,We can rest.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
654,A,براہِ کرم آرام کیجیے۔,Please rest.,Original controlled learner sentence — UALIS Publishing v1.0.,2,
655,A,براہِ کرم آرام نہ کیجیے۔,Please do not rest.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
656,B,ہمیں یہاں بیٹھنا ہے۔,We need to sit here.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
657,A,ہمیں یہاں بیٹھنا چاہیے۔,We should sit here.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
658,A,ہم یہاں بیٹھ سکتے ہیں۔,We can sit here.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
659,A,براہِ کرم یہاں بیٹھیے۔,Please sit here.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
660,B,براہِ کرم یہاں نہ بیٹھیے۔,Please do not sit here.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
661,B,ہمیں یہاں کھڑے ہونا ہے۔,We need to stand here.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
662,A,ہمیں یہاں کھڑے ہونا چاہیے۔,We should stand here.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
663,A,ہم یہاں کھڑے ہو سکتے ہیں۔,We can stand here.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
664,A,براہِ کرم یہاں کھڑے ہو جائیے۔,Please stand here.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
665,B,براہِ کرم یہاں کھڑے نہ ہوں۔,Please do not stand here.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
666,B,ہمیں آہستہ بولنا ہے۔,We need to speak slowly.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
667,A,ہمیں آہستہ بولنا چاہیے۔,We should speak slowly.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
668,A,ہم آہستہ بول سکتے ہیں۔,We can speak slowly.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
669,A,براہِ کرم آہستہ بولیے۔,Please speak slowly.,Original controlled learner sentence — UALIS Publishing v1.0.,3,
670,B,براہِ کرم اتنا آہستہ نہ بولیے۔,Please do not speak so slowly.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
671,B,ہمیں دوبارہ کہنا ہے۔,We need to say it again.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
672,B,ہمیں دوبارہ کہنا چاہیے۔,We should say it again.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
673,B,ہم دوبارہ کہہ سکتے ہیں۔,We can say it again.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
674,A,براہِ کرم دوبارہ کہیے۔,Please say it again.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
675,B,براہِ کرم دوبارہ نہ کہیے۔,Please do not say it again.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
676,B,ہمیں نام لکھنا ہے۔,We need to write the name.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
677,B,ہمیں نام لکھنا چاہیے۔,We should write the name.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
678,B,ہم نام لکھ سکتے ہیں۔,We can write the name.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
679,A,براہِ کرم نام لکھیے۔,Please write the name.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
680,B,براہِ کرم نام نہ لکھیے۔,Please do not write the name.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
681,B,ہمیں پاسپورٹ دکھانا ہے۔,We need to show the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
682,B,ہمیں پاسپورٹ دکھانا چاہیے۔,We should show the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
683,B,ہم پاسپورٹ دکھا سکتے ہیں۔,We can show the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
684,A,براہِ کرم پاسپورٹ دکھائیے۔,Please show the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
685,B,براہِ کرم پاسپورٹ نہ دکھائیے۔,Please do not show the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
686,B,ہمیں رسید سنبھال کر رکھنا ہے۔,We need to keep the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
687,B,ہمیں رسید سنبھال کر رکھنا چاہیے۔,We should keep the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
688,B,ہم رسید سنبھال کر رکھ سکتے ہیں۔,We can keep the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
689,A,براہِ کرم رسید سنبھال کر رکھیے۔,Please keep the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
690,B,براہِ کرم رسید مت پھینکیے۔,Please do not throw away the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
691,B,ہمیں مدد مانگنا ہے۔,We need to ask for help.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
692,B,ہمیں مدد مانگنا چاہیے۔,We should ask for help.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
693,B,ہم مدد مانگ سکتے ہیں۔,We can ask for help.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
694,A,براہِ کرم مدد مانگیے۔,Please ask for help.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
695,B,براہِ کرم مدد مانگنے سے نہ ہچکچائیے۔,Please do not hesitate to ask for help.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
