rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
357,صورة,picture; image; form,noun,s̪ˈuːra.,s̪ohohra.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
358,تقدم,progress; advance; advanced; came forward; applied (depending on use),noun / perfect-past verb,tˈaqadːˌum,taqadohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
359,جامعة,university,noun,dʒˈaːmiʕˌa,yamayay‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
360,عبر,through; via; across; lessons; morals; crossed/passed through; expressed (depending on vocalization/use),relational/adverbial noun / plural noun / perfect-past verb,ʕˈabr,‘abr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
361,اذهب,go!,imperative verb,ˈaðhb,adhhb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
362,وجد,found,perfect / past verb,wˈadʒad,wayad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
363,قادم,coming; next,adjective,qˈaːdim,qadayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
364,يجري,runs; proceeds; takes place,imperfect / present verb,jdʒrˈiː,yyrayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
365,أسعار,prices,noun,ʔsʕˈaːr,ʔs‘ar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
366,حرب,war,noun,ħˈarb,harb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
367,نقطة,point; dot,noun,nˈuqt̪a.,nohohqt̪a.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
368,انتخابات,elections,noun,ˈantχaːbˌaːt,antkhabat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
369,سوق,market,noun,sˈuːq,sohohq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
370,بناء,building; construction,noun,binˈaːʔ,bayaynaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
371,تعلم,learning; learned,noun / perfect / past verb,tˈaʕallˌam,ta‘allam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
372,يصبح,becomes,imperfect / present verb,js̪bħ,ys̪bh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
373,خصوصا,especially; particularly,verbal noun / adverbial expression,χs̪ˈu.ːs̪a.ː,khs̪ohoh.s̪a.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
374,نصف,half,noun,nˈis̪f,nayays̪f,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
375,ذهاب,going; departure,noun,ðˈahaːb,dhahab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
376,رأي,opinion; view,noun,rˈaʔj,raʔy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
377,يفكر,thinks; considers,imperfect / present verb,jfkr,yfkr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
378,وطني,national; patriotic,adjective,wˌat̪a.nˈiːj,wat̪a.nayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
379,اجتماع,meeting; assembly,noun,ˌidʒtimˈaːʕ,ayayytayayma‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
380,قيمة,value; worth,noun,qˈiːma,qayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
381,بلاد,lands; countries,noun,bˈalaːd,balad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
382,بداية,beginning; start,noun,bˈidaːjˌa,bayaydaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
383,ذو,possessor of; having; with (ذو),possessive noun / relational word,ðˈuː,dhohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
384,مدرسة,school; female teacher (depending on vocalization),noun,mˈadrasˌa,madrasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
385,سرعة,speed; rapidity,noun,sˈurʕa,sohohr‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
386,لما,when (لَمَّا); not yet (لَمَّا); for what / to what (لِمَا),particle / adverb / interrogative expression,lˈammaː,lamma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
387,أعضاء,members,noun,ʔʕdˤˈa.ːʔ,ʔ‘dˤa.ʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
388,عمر,age; lifetime,noun,ʕˈumr,‘ohohmr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
389,إسلامي,Islamic,adjective,ʔˈislaːmˌiːj,ʔayayslamayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
390,مرحلة,stage; phase,noun,mˈa.rħalˌa,ma.rhala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
391,بعيد,far; distant,adjective,bˈaʕiːd,ba‘ayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
392,يخبر,tells; informs,imperfect / present verb,jχbr,ykhbr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
393,أوضح,clearer; clearest; clarified; explained; made clear,elative adjective / perfect-past verb,ʔˈawdˤaħ,ʔawdˤah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
394,حب,love,noun,ħˈubː,hohohb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
395,مالية,financial; fiscal; finance; finances,adjective / noun,maːlˈijjah,malayayyyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
396,علاقة,relationship; relation,noun,ʕalˈaːqa,‘alaqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
397,يد,hand,noun,jˈad,yad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
398,ينظر,looks; considers; examines,imperfect / present verb,jnðr,yndhr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
399,مستقبل,future; receiver; recipient; host (depending on vocalization/use),noun / active participle,mˈustaqbˌal,mohohstaqbal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
400,زوجة,wife,noun,zˈawdʒa,zawya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
401,جيش,army,noun,dʒˈajʃ,yaysh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
402,مدة,duration; period,noun,mˈudːa,mohohda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
403,أهل,family; people; inhabitants; people of,noun,ʔˈahl,ʔahl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
404,يعيش,lives; resides,imperfect / present verb,jʕˈiːʃ,y‘ayaysh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
405,قول,saying; speech; statement,noun,qˈawl,qawl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
406,رقم,number; figure,noun,rˈaqm,raqm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
407,كتاب,book,noun,kitˈaːb,kayaytab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
408,اقتصادي,economic,adjective,ˌiqtis̪a.ːdˈijj,ayayqtayays̪a.dayayyy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
409,مكتب,office; desk,noun,mˈaktab,maktab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
410,نظر,view; consideration; looked/considered,noun / perfect / past verb,nˈaða.r,nadha.r,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
411,زيادة,increase; addition,noun,zˈiːaːdˌa,zayayada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
412,حل,solution; solving; solved,noun / perfect / past verb,ħˈall,hall,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
413,بلد,country; town; land,noun,bˈalad,balad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
414,عائلة,family,noun,ʕˈaːʔilˌa,‘aʔayayla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
415,إعادة,return; repetition; redoing,noun,ʔˈiʕaːdˌa,ʔayay‘ada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
416,حد,limit; boundary; extent,noun,ħˈadː,had,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
417,يرجو,hopes; wishes; asks/request politely (يرجو),imperfect / present verb,jrdʒˈuː,yryohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
418,مؤتمر,conference,noun,mˈuʔtamˌar,mohohʔtamar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
419,باب,door; gate,noun,bˈaːb,bab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
420,يفهم,understands,imperfect / present verb,jfhˈum,yfhohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
421,موضوع,subject; topic,noun,mawdˤˈuːʕ,mawdˤohoh‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
422,واقع,reality; actual situation; occurring/present,noun / adjective / active participle,wˈaːqiʕ,waqayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
423,مقابل,opposite; counterpart; in exchange for; versus,noun / relational expression,muqˈaːbil,mohohqabayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
424,محكمة,court; tribunal,noun,mˈaħkamˌa,mahkama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
425,كلمة,word,noun,kˈalimˌa,kalayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
426,يتمنى,wishes; hopes,imperfect / present verb,jtmnˈaː,ytmna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
427,جهاز,device; apparatus,noun,dʒˈihaːz,yayayhaz,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
428,سمع,hearing; heard/listened,noun / perfect / past verb,sˈamiʕ,samayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
429,اسمع,listen!; hear!,imperative verb,ˈasmʕ,asm‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
430,ترك,leaving; abandonment; left,noun / perfect / past verb,tˈarak,tarak,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
431,عربي,Arab; Arabic,noun / adjective,ʕˌarabˈiːj,‘arabayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
432,قيادة,leadership; driving,noun,qˈijaːdˌa,qayayyada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
433,فضل,merit; virtue; favor; preferred,noun / perfect / past verb,fˈadˤl,fadˤl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
434,انتهى,ended; finished,perfect / past verb,ˈintahˌaː,ayayntaha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
435,طالب,student; seeker; demanded/claimed,noun / perfect / past verb,t̪ˈaːlab,t̪alab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
436,رفض,rejection; refusal; refused,noun / perfect / past verb,rˈafadˤ,rafadˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
437,صاحب,companion; owner; accompanied,noun / perfect / past verb,s̪ˈaːħib,s̪ahayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
438,بلغ,reached; amounted to; informed/notified (depending on form),perfect / past verb,bˈalaɣ,balagh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
439,وصول,arrival; access,noun,wˈus̪uːl,wohohs̪ohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
440,دخول,entry; entrance,noun,dˈuχuːl,dohohkhohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
441,عالمية,global; international (feminine),adjective,ʕaːlˈamiːjˌa,‘alamayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
442,مهمة,task; mission; assignment; important in the feminine adjective reading,noun / adjective,mˈuhimmˌa,mohohhayaymma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
443,مزيد,more; additional amount; further,noun,mˈaziːd,mazayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
444,رئاسة,presidency; chairmanship,noun,riʔˈaːsa,rayayʔasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
445,مجتمع,society; community,noun,mˈudʒtamˌaʕ,mohohytama‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
446,قلب,heart; core or center; turned; overturned; reversed,noun / perfect-past verb,qˈalb,qalb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
447,ينتظر,waits,imperfect / present verb,jntðr,yntdhr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
448,تعاون,cooperation; collaborated/cooperated,noun / perfect / past verb,taʕˈaːwun,ta‘awohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
449,عبد,servant; slave; worshipped,noun / perfect / past verb,ʕˈabd,‘abd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
450,جزء,part; portion,noun,dʒˈuzʔ,yohohzʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
451,موسم,season,noun,mˈawsim,mawsayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
452,صوت,voice; sound; vote,noun,s̪ˈawt,s̪awt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
453,يود,would like; wants,imperfect / present verb,jˈawwad,yawwad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
454,قيام,standing; undertaking; carrying out,noun,qˈiːaːm,qayayam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
455,خارجية,foreign; external; exterior (feminine adjective/noun use),noun / adjective,xˈaːridʒˈijjah,kharayayyayayyyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
456,ذكر,masculine being; mention or remembrance; mentioned or recalled,noun / perfect-past verb,ðˈakar,dhakar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
457,حديث,modern; recent; new; speech or talk or report; Hadith,adjective / noun,ħˈadiːθ,hadayayth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
458,ظهر,back; noon or midday; appeared or became visible,noun / perfect-past verb,ðˈuhr,dhohohhr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
459,عديد,many; numerous,quantifier / adjective,ʕˈadiːd,‘adayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
460,كأن,as if; as though,particle,kˈaʔannˌa,kaʔanna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
461,لحظة,moment,noun,lˈaħða,lahdha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
462,حوار,dialogue; conversation,noun,ħiwˈaːr,hayaywar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
463,ارتفاع,rise; increase; elevation,noun,ˈirtifˌaːʕ,ayayrtayayfa‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
464,نار,fire,noun,nˈaːr,nar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
465,حاول,tried; attempted; try!,perfect / past verb / imperative verb,ħˈaːwal,hawal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
466,دين,religion; debt (depending on vocalization),noun,dˈiːn,dayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
467,دوري,league; periodic; my turn; my role (depending on vocalization/use),noun / adjective / noun + possessive suffix,dˈawriːj,dawrayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
468,يبحث,searches; researches; looks for,imperfect / present verb,jbħθ,ybhth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
469,يعطي,gives,imperfect / present verb,jʕt̪ˈi,y‘t̪ayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
470,غاية,goal; purpose; utmost extent,noun,ɣˈaːja,ghaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
471,تقديم,presentation; submission; provision,noun,tˈaqdiːm,taqdayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
472,دفع,payment; pushing; paid/pushed,noun / perfect / past verb,dˈafaʕ,dafa‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
473,دعا,called; invited; prayed,perfect / past verb,dˈaʕaː,da‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
474,موقف,position; stance; situation,noun,mˈawqif,mawqayayf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
475,مشيرا,indicating; pointing out; noting (mushiran),active participle used adverbially/circumstantially,mʃˈiːraː,mshayayra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
476,تنفيذ,implementation; execution,noun,tanfˈiːð,tanfayaydh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
477,يقصد,means; intends; aims,imperfect / present verb,jqs̪d,yqs̪d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
478,يذكر,mentions; remembers,imperfect / present verb,jðkr,ydhkr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
479,سالم,safe; sound; intact; unharmed,adjective / active participle,sˈaːlim,salayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
480,أصدقاء,friends,noun,ʔs̪dqʔ,ʔs̪dqʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
481,وحدة,unit; unity; loneliness; solitude (depending on vocalization/use),noun,wˈaħda,wahda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
482,قديم,old; ancient,adjective,qˈadiːm,qadayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
483,أزمة,crisis,noun,ʔˈazma,ʔazma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
484,تقرير,report,noun,tˈaqriːr,taqrayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
485,معلومات,information,noun,mʕlˈuːmaːt,m‘lohohmat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
486,إمكان,possibility; potential,noun,ʔˈimkaːn,ʔayaymkan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
487,نتيجة,result; outcome,noun,natˈiːdʒa,natayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
488,موقع,site; location; position,noun,mˈawqiʕ,mawqayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
489,سماء,sky; heaven,noun,sˈamaːʔ,samaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
490,مجال,field; domain; area,noun,madʒˈaːl,mayal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
491,وسط,middle; center; among,noun,wˈasat̪,wasat̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
492,جميعا,all together; altogether; everyone,adverb,dʒmˈiːʕaː,ymayay‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
493,موت,death,noun,mˈawt,mawt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
494,شعر,poetry; hair; felt/perceived (شِعْر / شَعْر / شَعَرَ),noun / perfect-past verb,ʃˈaʕar,sha‘ar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
495,دفاع,defense; defence,noun,difˈaːʕ,dayayfa‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
496,درجة,degree; grade; level,noun,dˈaradʒˌa,daraya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
497,اتصال,contact; communication,noun,ˌitːiˈs̪-a.ːl,ayaytayays̪-a.l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
498,عشر,ten; one tenth (depending on vocalization),numeral / quantifying noun,ʕˈaʃar,‘ashar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
499,سؤال,question,noun,sˈuʔaːl,sohohʔal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
500,كلام,speech; talk; words,noun,kˈalaːm,kalam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
501,كأس,cup; trophy,noun,kˈaʔs,kaʔs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
502,جعل,made; rendered; caused,perfect / past verb,dʒˈaʕal,ya‘al,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
503,طوال,throughout; during; all through,adverb,t̪ˈawaːl,t̪awal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
504,خطة,plan,noun,χˈut̪t̪a,khohoht̪t̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
505,متى,when?,interrogative/conditional temporal adverbial noun,mˈataː,mata,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
506,ضبط,control; regulation; adjustment; controlled; adjusted,noun / perfect-past verb,dˤˈabt̪,dˤabt̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
507,أثناء,during; while,adverb,ʔˈaθnaːʔˌa,ʔathnaʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
508,وطنية,national; patriotic; patriotism,adjective / noun,wat̪ˈaniːjˌa,wat̪anayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
509,معرفة,knowledge; knowing,noun,mˈaʕrifˌa,ma‘rayayfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
510,بيان,statement; declaration; data/itemization (context-dependent),noun,bajˈaːn,bayan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
511,قرر,decided; determined,perfect / past verb,qˈarrar,qarrar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
512,عيد,holiday; feast; festival,noun,ʕˈiːd,‘ayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
513,زوج,spouse; pair; married off,noun / perfect / past verb,zˈawdʒ,zawy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
514,تعليم,education; teaching,noun,tˈaʕliːm,ta‘layaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
515,خطأ,error; mistake,noun,χˈat̪aʔ,khat̪aʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
516,تطوير,development; improvement,noun,tˈat̪wiːr,tat̪wayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
517,عدة,several; a number of; waiting period; equipment/gear (depending on vocalization),noun,ʕˈidːa,‘ayayda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
518,عضو,member; organ,noun,ʕˈudˤw,‘ohohdˤw,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
519,فتح,opening; conquest; opened,noun / perfect / past verb,fˈatħ,fath,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
520,مات,died,perfect / past verb,mˈaːt,mat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
521,غدا,tomorrow,adverb,ɣˈadaː,ghada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
522,عظيم,great; magnificent; enormous,adjective,ʕˈaðiːm,‘adhayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
523,كشف,discovery; exposure; revealed/uncovered,noun / perfect / past verb,kˈaʃaf,kashaf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
524,طاقة,energy; capacity,noun,t̪ˈaːqa,t̪aqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
525,يعتبر,is considered; regards/considers,imperfect / present verb,jʕtbr,y‘tbr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
526,عاد,returned; came back,perfect / past verb,ʕˈaːd,‘ad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
527,خلف,behind; back; rear; succeeded/followed; came after (depending on vocalization/use),noun / adverbial noun / perfect-past verb,χˈalf,khalf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
528,شرق,east,noun,ʃˈarq,sharq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
529,داخلية,internal; domestic; interior (feminine),adjective,daːχˈiliːjˌa,dakhayaylayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
530,ضمن,within; among; included/guaranteed (depending on vocalization),adverb / perfect / past verb,dˤˈimn,dˤayaymn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
531,اتفاق,agreement; accord,noun,ˌitːifˈaːq,ayaytayayfaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
532,مياه,water; waters,noun,mˈiːaːh,mayayah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
533,مستشفى,hospital,noun,mˈustaʃfˌaː,mohohstashfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
534,إنسان,human being; person,noun,ʔˈinsaːn,ʔayaynsan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
535,أعطى,gave,perfect / past verb,ʔˈaʕt̪aː,ʔa‘t̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
536,ألم,pain (أَلَم); did ... not? (أَ + لَمْ),noun / interrogative particle + negative particle sequence,ʔˈalam,ʔalam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
